HD 196885 A b,13.2,1.31,0.38
HD 197037 b,13.9,1.1,0.239
HD 199509 b,7.43,0.92,-0.084
HD 19994 b,13.6,1.8,0.58
HD 20003 b,3.43,0.92,-0.143
HD 20003 c,3.89,0.92,-0.143
HD 200964 b,13.5,4.92,1.064
HD 200964 c,13.7,4.92,1.064
HD 202206 c,12.2,1.04,0.035
HD 203387 b,13.1,10.59,1.86
HD 203387 c,12.6,10.59,1.86
HD 2039 b,12.7,1.19,0.194
HD 204313 b,12.9,1.1,0.1
HD 204313 c,4.31,1.13,0.1
HD 204313 e,12.2,1.13,0.1
HD 204941 b,10.1,0.78,-0.509
HD 205158 b,13.9,1.88,0.653
HD 205739 b,13.6,1.33,0.36
HD 206255 b,6.47,2.22,0.652
HD 206610 b,13.4,6.12,1.276
HD 20781 b,1.21,0.83,-0.31
HD 20781 c,2.17,0.83,-0.31
HD 20781 d,3.25,0.83,-0.31
HD 20781 e,3.83,0.83,-0.31
HD 20782 b,13.6,1.13,0.107
HD 207832 b,14.2,0.89,-0.11
HD 207832 c,14,0.9,-0.112
HD 20794 b,1.45,0.92,-0.163
HD 20794 c,1.35,0.92,-0.163
HD 20794 d,2.04,0.92,-0.163
HD 20794 e,2.03,0.92,-0.163
HD 208487 b,14.2,1.2,0.244
HD 208527 b,12.5,51.1,2.863
HD 20868 b,13.7,0.76,-0.529
HD 208897 b,13.6,4.98,1.09
HD 209458 b,15.581,1.19,0.231
HD 210193 b,14.3,1.06,0.056
HD 210277 b,13.6,1.07,-0.032
HD 210702 b,13.4,4.92,1.149
HD 211403 b,12.8,1.21,0.364
HD 211810 b,14,1.13,0.07
HD 211970 b,3.66,0.57,-1.065
HD 212301 b,14.2,1.16,0.243
HD 212771 b,13.3,5.27,1.188
HD 213240 b,12.8,1.51,0.429
HD 213472 b,13.1,1.43,0.285
HD 213519 b,2.99,1.08,0.089
HD 213885 c,4.71,1.1,0.139
HD 21411 b,9.52,0.83,-0.266
HD 214823 b,12.1,2.04,0.638
HD 215152 b,1.19,0.73,-0.523
HD 215152 c,1.17,0.73,-0.523
HD 215152 d,1.48,0.73,-0.523
HD 215152 e,1.51,0.73,-0.523
HD 215497 b,2.4,0.85,-0.41
HD 215497 c,12.5,0.9,-0.41
HD 216435 b,13.7,1.8,0.557
HD 216437 b,13,1.39,0.35
HD 216520 b,3.18,0.76,-0.452
HD 216520 c,3.03,0.76,-0.452
HD 216536 b,13.8,9.83,1.8
HD 216770 b,14.1,0.93,-0.1
HD 21693 b,2.8,0.91,-0.208
HD 21693 c,4.34,0.91,-0.208
HD 217107 b,13.6,1.11,0.098
HD 217107 c,13.2,1.2,0.098
HD 217786 b,12.3,1.27,0.276
HD 217786 c,2.61,1.34,0.304
HD 217958 b,14.2,1.33,0.292
HD 218566 b,9.32,0.85,-0.452
HD 219077 b,12.5,1.91,0.425
HD 219134 b,1.602,0.78,-0.577
HD 219134 c,1.511,0.78,-0.577
HD 219134 d,1.61,0.78,-0.577
HD 219134 f,1.31,0.78,-0.577
HD 219134 g,3.28,0.77,-0.509
HD 219134 h,12.7,0.77,-0.509
HD 219139 b,14,11.22,1.795
HD 219415 b,13.8,2.9,0.62
HD 219828 b,4.59,1.56,0.42
HD 219828 c,12.2,1.61,0.42
HD 220074 b,12.2,54.92,2.894
HD 220197 b,9.32,0.98,-0.003
HD 220689 b,13.7,1.07,0.093
HD 220773 b,13.6,1.68,0.498
HD 220842 b,13.1,1.42,0.357
HD 221287 b,13.1,1.14,0.22
HD 221420 b,12.1,1.95,0.603
HD 221585 b,13.5,1.85,0.422
HD 222076 b,13.5,4.1,0.929
HD 222155 b,13.4,1.85,0.509
HD 222582 b,12.6,1.13,0.115
HD 224538 b,12.7,1.54,0.47
HD 224693 b,14,1.93,0.61
HD 22496 b,2.22,0.67,-1.174
HD 22532 b,13.4,5.69,1.274
HD 22781 b,12.3,0.74,-0.476
HD 23079 b,13.2,1.07,0.133
HD 23127 b,13.5,1.49,0.452
HD 231701 b,13.7,1.53,0.47
HD 233604 b,12.7,10.9,1.75
HD 233832 b,13.5,0.68,-0.523
HD 23596 b,12.4,1.53,0.458
HD 238090 b,2.52,0.57,-1.154
HD 238914 b,12.8,12.73,1.85
HD 240210 b,12.8,25.46,1.55
HD 240237 b,12.2,71.23,2.49
HD 24040 b,13,1.3,0.276
HD 24040 c,9.35,1.39,0.276
HD 24064 b,12.3,40,2.546
HD 24085 b,3.46,1.41,0.377
HD 25015 b,12.5,0.83,-0.384
HD 25171 b,13.9,1.23,0.276
HD 25723 b,13.3,13.76,1.944
HD 25912 b,6.9,1,0.041
HD 25912 c,12.2,1,0.041
HD 26161 b,11.9,1.46,0.393
HD 2638 b,14.3,0.94,-0.33
HD 26965 b,2.84,0.87,-0.34
HD 27442 b,13.5,3.18,0.851
HD 27631 b,13.5,0.92,-0.056
HD 27894 b,14.1,0.89,-0.449
HD 27894 c,8.24,0.89,-0.409
HD 27894 d,12.7,0.89,-0.409
HD 27969 b,12.9,1.27,0.528
HD 28185 b,12.8,1.03,0.016
