HD 2952 b,13.6,10.76
HD 29985 b,12.8,0.57
HD 30177 b,12.6,1.02
HD 30177 c,12.7,1.18
HD 30562 b,13.6,1.61
HD 30669 b,14.3,0.91
HD 30856 b,13.5,4.4
HD 31253 b,14.1,1.75
HD 31527 b,3.22,1.07
HD 31527 c,3.85,1.07
HD 31527 d,3.46,1.07
HD 3167 d,1.92,0.88
HD 3167 e,2.83,0.88
HD 32518 b,13.1,10.22
HD 32963 b,13.4,1.11
HD 330075 b,14.3,0.84
HD 331093 b,13.6,1.11
HD 33142 b,13.7,4.17
HD 33142 c,13.9,4.17
HD 33142 d,9.32,4.17
HD 33283 b,12.5,1.97
HD 33564 b,12.5,1.44
HD 33844 b,13.4,5.39
HD 33844 c,13.5,5.29
HD 34445 b,13.9,1.38
HD 34445 c,8.42,1.38
HD 34445 d,6.07,1.38
HD 34445 e,4.26,1.38
HD 34445 f,6.88,1.38
HD 34445 g,13.6,1.38
HD 35759 b,13,1.76
HD 360 b,14,10.86
HD 3651 b,10.1,0.87
HD 37124 b,14,0.95
HD 37124 c,14.1,0.95
HD 37124 d,14,0.95
HD 37605 b,13.2,0.91
HD 37605 c,13.1,0.91
HD 3765 b,8.56,0.83
HD 38283 b,14,1.49
HD 38529 b,14.1,2.86
HD 38529 c,12.5,2.86
HD 38801 b,12.5,2.03
HD 39091 b,12.4,1.19
HD 39194 b,1.83,0.78
HD 39194 c,2.39,0.78
HD 39194 d,1.83,0.78
HD 39855 b,2.85,0.74
HD 40307 b,1.83,0.72
HD 40307 c,2.46,0.72
HD 40307 d,3.04,0.72
HD 40307 f,2.13,0.72
HD 40307 g,2.56,0.72
HD 40956 b,13.2,8.56
HD 40979 b,12.9,1.21
HD 41004 A b,13.2,0.85
HD 41004 B b,12.1,1.04
HD 4113 b,13.5,1.08
HD 42012 b,13.5,0.82
HD 4203 b,13.3,1.42
HD 4203 c,13.3,1.5
HD 4208 b,13.9,0.85
HD 42618 b,3.89,1
HD 4308 b,4.12,1.02
HD 4313 b,13.4,5.14
HD 43197 b,14.2,1
HD 43197 c,12.6,1
HD 43691 b,13.2,1.6
HD 44219 b,14.1,1.32
HD 45184 b,3.52,1.08
HD 45184 c,2.91,1.08
HD 45350 b,13.5,1.26
HD 45364 b,9.03,0.89
HD 45364 c,14.2,0.89
HD 45652 b,14.3,0.94
HD 457 b,11.9,1.28
HD 46375 b,10,0.91
HD 47186 b,5.02,1.08
HD 47186 c,13,1.08
HD 4732 b,13.3,5.4
HD 4732 c,13.3,5.4
HD 47366 b,13.3,6.2
HD 47366 c,13.4,6.2
HD 47536 b,12.6,23.47
HD 4760 b,12.3,42.4
HD 48265 b,13.5,1.9
HD 4917 b,13.5,5.01
HD 49674 b,6.2,1.02
HD 50499 b,13.5,1.35
HD 50499 c,13.2,1.42
HD 50554 b,12.8,1.02
HD 51608 b,3.62,0.92
HD 51608 c,3.87,0.92
HD 52265 b,13.7,1.32
HD 5278 c,4.49,1.19
HD 5319 b,13.5,4.06
HD 5319 c,13.8,4.06
HD 55696 b,12.9,1.52
HD 5583 b,12.8,9.09
HD 5608 b,13.5,5.14
HD 564 b,12.5,1.01
HD 56957 b,12.8,1.78
HD 5891 b,12.6,10.64
HD 59686 A b,12.7,13.2
HD 60292 b,12.7,27
HD 60532 b,13.8,2.57
HD 60532 c,13.3,2.57
HD 62364 b,12.1,1.4
HD 62364 c,12,1.4
HD 62509 b,13.3,8.9
HD 62549 b,12.6,1.23
HD 63454 b,12.31,0.77
HD 63765 b,14.2,0.83
HD 63935 c,2.9,0.96
HD 64114 b,4.41,0.88
HD 64121 b,13.2,5.44
HD 6434 b,14.2,1.12
HD 65216 b,13.6,0.88
HD 65216 c,13.4,0.89
HD 66141 b,12.8,21.4
HD 66428 b,12.4,1.13
HD 66428 c,13.5,1.17
HD 67087 b,13.1,1.55
HD 67087 c,12.9,1.55
HD 6718 b,13.5,0.95
HD 68402 b,12.6,1.02
HD 68988 b,13.4,1.19
HD 68988 c,12.3,1.26
HD 69123 b,13.1,7.72
HD 69830 b,3.17,0.89
HD 69830 c,3.46,0.89
HD 69830 d,4.45,0.89
HD 70573 b,12.8,0.98
HD 70642 b,13,0.98
HD 7199 b,11.1,0.97
HD 72490 b,13.5,4.96
HD 72659 b,13.2,1.46
HD 72659 c,12.1,1.46
HD 72892 b,12.8,1.22
HD 73267 b,13,0.91
HD 73267 c,12.8,0.96
HD 73526 b,13.1,1.53
HD 73526 c,13.3,1.53
HD 73534 b,13.7,2.58
HD 74156 b,13.5,1.51
HD 74156 c,12.5,1.51
HD 7449 b,12.6,0.97
HD 74698 b,5.12,1.33
HD 74698 c,14,1.33
HD 75289 b,14.2,1.23
HD 75784 b,13.8,3.4
HD 75784 c,12.8,3.4
HD 75898 b,13.2,1.58
HD 76700 b,9.6,1.37
HD 76920 b,13,7.47
HD 77338 b,4.12,0.97
HD 79181 b,14.1,11.06
HD 7924 b,2.4,0.78
HD 7924 c,2.72,0.78
HD 7924 d,2.42,0.78
HD 79498 b,13.6,1.05
HD 80606 b,11.994,1.04
HD 80869 b,12.8,1.06
HD 80883 b,12.8,0.81
HD 80913 b,12,1.65
HD 81040 b,12.7,0.91
HD 81688 b,13.2,13
HD 81817 b,12,83.8
HD 81817 c,12,109.46
HD 82886 b,13.3,5.26
HD 82943 b,13.5,1.18
HD 82943 c,13.4,1.18
HD 8326 b,9.58,0.78
HD 83443 b,14.1,0.94
HD 83443 c,13.6,0.94
HD 8535 b,14,1.19
HD 85390 b,6.16,0.8
HD 85512 b,1.72,0.71
HD 8574 b,13.4,1.38
HD 86065 b,12.5,0.78
HD 86081 b,13.6,1.46
HD 86226 b,14.3,1.05
HD 86264 b,12.5,1.88
HD 8673 b,12.3,1.5
HD 86950 b,13,8.8
HD 87646 b,12.4,1.55
HD 87883 b,12.8,0.8
HD 88072 b,12.6,1.03
HD 88133 b,13.8,2.2
HD 89307 b,13.4,1.1
HD 89744 b,12.6,2.13
HD 89839 b,12.9,1.29
HD 90156 b,4.43,0.92
HD 9174 b,13.7,1.67
HD 92788 b,13,1.14
HD 92788 c,13,1.14
